# GENERATED by tools/generate_accumulation_series.py -- do not edit.
# One row per accepted submission, in order of acceptance, each computed from
# the repository tree at that commit. See the "Suspension and replacement"
# section of PREREGISTRATION.md for what this measures and what it cannot show.
#
# add_only_rule is true from 2026-09-22, when ordinary submissions became
# add-only: extending an accepted module then requires importing it, which
# creates an edge by construction. Rows on either side of that boundary are
# reported separately, and the earlier ones are the cleaner evidence.
date,submission_id,modules,edges,edges_per_module,connected_share,max_in_degree,max_depth,imports_recent,add_only_rule
2026-08-12,bootstrap-binomial,1,0,0.000,0.000,0,1,false,false
2026-08-12,inversive-geometry-reflection,2,0,0.000,0.000,0,1,false,false
2026-08-17,sylvester-sequence-coprimality,3,0,0.000,0.000,0,1,false,false
2026-08-17,mediant-stern-brocot-determinant,4,0,0.000,0.000,0,1,false,false
2026-08-17,markov-equation-vieta-jumping,5,0,0.000,0.000,0,1,false,false
2026-08-17,horadam-cassini-identity,6,0,0.000,0.000,0,1,false,false
2026-08-17,ford-circle-tangency,7,1,0.143,0.143,1,2,true,false
2026-08-17,descartes-circle-quadruple,8,1,0.125,0.125,1,2,true,false
2026-08-17,stern-diatomic-coprime,9,1,0.111,0.111,1,2,true,false
2026-08-17,farey-least-denominator,10,2,0.200,0.200,2,2,true,false
2026-08-17,power-sums-nicomachus,11,2,0.182,0.182,2,2,true,false
2026-08-18,josephus-survivor-binary-shift,12,2,0.167,0.167,2,2,false,false
2026-08-18,fibonacci-composition-count,13,2,0.154,0.154,2,2,false,false
2026-08-18,fibonacci-reciprocal-summable,14,2,0.143,0.143,2,2,false,false
2026-08-18,lucas-numbers,15,2,0.133,0.133,2,2,false,false
2026-08-18,fibonacci-q-matrix,16,2,0.125,0.125,2,2,false,false
2026-08-18,furstenberg-topology,17,2,0.118,0.118,2,2,false,false
2026-08-18,josephus-one-indexed-bridge,18,3,0.167,0.167,2,2,true,false
2026-08-18,tent-logistic-semiconjugacy,19,3,0.158,0.158,2,2,true,false
2026-08-19,bounded-slope-greatest-minorant,20,3,0.150,0.150,2,2,false,false
2026-08-19,slope-minorant-constraints,21,4,0.190,0.190,2,2,true,false
2026-08-19,change-ringing-plain-changes,22,4,0.182,0.182,2,2,true,false
2026-08-19,hermite-lindemann-exp-injective-on-algebraics,23,4,0.174,0.174,2,2,true,false
2026-08-19,noncommutative-finite-group-character-sum,24,4,0.167,0.167,2,2,true,false
2026-08-20,thue-morse-prouhet-power-sums,25,4,0.160,0.160,2,2,false,false
2026-08-20,stern-brocot-coprime-enumeration,26,5,0.192,0.192,2,2,true,false
2026-08-20,padovan-sequence-sum,27,5,0.185,0.185,2,2,true,false
2026-08-21,polynomial-translation-rigidity-char-zero,28,5,0.179,0.179,2,2,false,false
2026-08-21,finite-pairwise-squared-difference,29,5,0.172,0.172,2,2,false,false
2026-08-29,polynomial-period-degree-zero,29,5,0.172,0.172,2,2,false,false
2026-08-31,tribonacci-sequence-sum,30,5,0.167,0.167,2,2,false,false
2026-09-12,nesbitt-inequality,31,5,0.161,0.161,2,2,false,false
2026-09-21,markov-tree-descent,32,6,0.188,0.188,2,2,false,false
2026-09-21,ford-circle-sphere-tangency,33,7,0.212,0.212,2,3,false,false
2026-09-22,finite-character-orthogonality,34,8,0.235,0.235,2,3,false,true
2026-09-22,farey-ford-circle-maximality,35,10,0.286,0.257,2,3,false,true
2026-09-22,horadam-companion-matrix,37,14,0.378,0.297,2,3,true,true
2026-09-22,ford-farey-descartes-configuration,38,16,0.421,0.316,2,4,true,true
2026-09-22,calkin-wilf-path-bijection,39,17,0.436,0.333,2,4,true,true
2026-09-22,stern-brocot-path-bijection,40,18,0.450,0.350,2,4,true,true
2026-09-22,circular-tilings-lucas,41,20,0.488,0.366,2,4,true,true
2026-09-22,stern-brocot-interval-invariant,42,21,0.500,0.381,3,4,true,true
